name,prediction,confidence,critic_score,critic_grade,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,key_concern,would_rerun_help
a katrise perera,same,high,13,QUESTIONABLE,pass,pass,weak,fail,fail,pass,pass,pass,fail,pass,The evidence is insufficient for high confidence: only 1 Tier 2 source (2017 application document) with multiple Tier 3 sources. The Lancaster ISD bio is misclassified as Tier 1 when it's actually Tier 3 (current district bio). High confidence requires 2+ Tier 1-2 independent sources.,True
a katrise perera,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"None significant. The reasoning is strong with multiple independent sources confirming the career trajectory. The only minor issue is that the 4-phase search strategy is not explicitly documented, though the evidence shows thorough searching was performed.",False
a katrise perera,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified. This is an exemplary disambiguation with definitive Tier 1 evidence directly connecting both districts.,False
aaron spence,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is an exemplary disambiguation with strong evidence and sound reasoning.,False
aaron spence,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is an exceptionally strong disambiguation case with multiple Tier 1 sources explicitly documenting the career transition between districts.,False
adolfo melara,same,high,7,SUSPECT,pass,pass,fail,fail,fail,pass,weak,fail,fail,fail,"The reasoning claims ""strong evidence"" and ""conclusively shows"" but only one source (Houston Woman Holiday 2022) appears to directly link Adolfo Melara to George I. Sanchez Charter. The other sources are described but their actual content is not demonstrated to support the claims. No LinkedIn search was conducted, which would be a critical Tier 1 source for verifying career continuity between California and Texas. The confidence is significantly overcalibrated for the evidence presented.",True
albert roberts,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None significant. This is a well-supported disambiguation with strong Tier 1 evidence explicitly documenting the career transition between districts.,False
alexandra estrella,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None. This is an exemplary disambiguation with strong multi-source evidence and proper confidence calibration.,False
amy kruppe,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None. This is an exemplary disambiguation with strong evidence, proper methodology, and appropriate confidence calibration.",False
andre spencer,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,None significant. The reasoning is sound and well-supported by multiple independent Tier 1 sources.,False
andrea perez,same,high,13,QUESTIONABLE,pass,pass,weak,pass,fail,pass,pass,pass,fail,fail,"The critical flaw is that while the reasoning confirms Andrea Perez held BOTH positions separately, it provides NO evidence directly connecting the 2008 Woodville Union role to the 2023-2024 BASIS Texas role. The Tulare County document mentions Woodville Union but doesn't specify 2008. The entire case rests on career trajectory plausibility (a 15-year gap with CA→TX move) rather than explicit corroboration. For a moderately common name like Andrea Perez, this is insufficient for high confidence.",True
andrew jackson,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,weak,"Overall strong case with excellent Tier 1 evidence. The Cincinnati.com article explicitly covering the transition from Northwest Local to Sunman-Dearborn is the gold standard of evidence. However, given that Andrew Jackson is an extremely common name, this case required the highest evidentiary standard, which was met. The only minor gap is the unexplained 2021-2023 period in the Sunman-Dearborn tenure, but this does not undermine the core conclusion.",False
andrew oberg,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None significant. This is a strong disambiguation with Tier 1 evidence that explicitly connects both positions.,False
angelica ramsey,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"Position record dates do not match documented evidence: Position 1 lists Pleasant Valley as 2014-2018, but evidence shows tenure was July 2016 to early 2021. This is a 3-year discrepancy on the end date and 2-year discrepancy on the start date. The evidence strongly supports 'same' prediction, but the position record appears to contain inaccurate dates.",False
angelica ramsey,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"Timeline discrepancy: The record shows Pleasant Valley tenure as 2014-2018, but all evidence sources consistently indicate she started in 2016 and served almost five years (2016-2021). While this doesn't undermine the core conclusion that it's the same person, the record's date range appears imprecise or possibly incorrect. The evidence (Ventura County Star, CBS7, Fort Worth Chamber) all point to a 2016 start, not 2014.",False
ann gardner,same,high,11,QUESTIONABLE,pass,pass,weak,fail,fail,pass,pass,pass,fail,fail,"The prediction rests entirely on the coincidence of the same name appearing at two districts, with no evidence linking them. No Tier 1 sources (hiring announcements, LinkedIn, transition news) were found to document the career move from Texas to Arkansas. The high confidence is dramatically overcalibrated - this could easily be two different people named Ann Gardner. The reasoning commits the fundamental fallacy of assuming 'same name = same person' in the absence of disconfirming evidence, rather than requiring positive evidence of identity.",True
anthony jackson,same,high,17,PLAUSIBLE,pass,pass,weak,pass,pass,weak,pass,pass,weak,pass,"The Henry County (VA) position from 2010 is not directly documented with a source showing 'Dr. Anthony D. Jackson' at that district. All provided sources focus on his North Carolina career (Nash-Rocky Mount, Vance County, Chatham County). While the career progression is coherent and well-documented for NC, the connection to Henry County is inferred rather than directly proven by a source explicitly placing him there.",True
anthony jackson,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning is strong on evidence but weak on methodology documentation. It does not explicitly describe the search phases used, making it difficult to verify whether all appropriate search strategies were attempted.",False
anthony jackson,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"None significant. The disambiguation is well-supported with multiple independent Tier 1 sources, consistent full name verification including middle initial, and a clearly documented career progression matching both position records exactly.",False
aron borowiak,same,high,8,SUSPECT,pass,pass,weak,fail,fail,weak,weak,fail,fail,weak,"The reasoning claims definitive evidence and high confidence but the provided URLs do not support these assertions. LinkedIn is cited as a key source but no URL is provided. Wikipedia is claimed to list him but this is unverified. Most critically, no source explicitly states that the same person transitioned from Union County College Corner to Antioch CCSD 34. The evidence only shows someone named Aron Borowiak was at each district separately, not that it is the same person making a career move.",True
arthur culver,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None identified. This is an exemplary disambiguation with strong, well-corroborated evidence from multiple independent Tier 1 sources.",False
arthur culver,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,weak,pass,pass,pass,pass,"Minor gap in full name verification: Longview ISD sources show ""Arthur Culver"" while East St Louis sources show ""Arthur R. Culver"". The middle initial ""R"" is not explicitly documented in Longview ISD records, though this is not a fatal flaw given the strong corroborating evidence from multiple Tier 1 sources showing a clear career progression.",False
arveneda mcdonald,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is a well-executed disambiguation with strong evidence and proper reasoning.,False
attila weninger,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None identified. The disambiguation is exceptionally well-supported with a Tier 1 source (Washington County Insider) that explicitly lists both districts in the superintendent's career history, corroborated by multiple independent sources including board minutes and newspaper archives.",False
attila weninger,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"No significant concerns. This is an exemplary disambiguation with strong, direct evidence.",False
barbara erwin,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,pass,weak,pass,pass,pass,"The Murray Ledger URL format is unusual and may be an internal/archived link format that could be difficult to verify, though the evidence content is strong and corroborated by two Chicago Tribune articles.",False
bernard josefsberg,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None significant. The disambiguation is well-supported with multiple independent sources, including a Tier 1 news article that explicitly connects both districts. The reasoning is coherent and the evidence quality is high.",False
bernard taylor,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,pass,weak,pass,pass,pass,"The Education Week URL appears to be incomplete or incorrectly formatted, which could affect reproducibility of that specific source verification. However, the citation is otherwise credible and supported by additional sources.",False
bill morgan,same,high,7,SUSPECT,pass,fail,weak,fail,fail,pass,pass,fail,fail,fail,"The fundamental flaw is that NO evidence actually connects the two positions. The LinkedIn profile only shows USD 482 (Kansas), not Gorman ISD (Texas). The reasoning incorrectly treats separate evidence for two Bill Morgans at two different districts as evidence they are the same person. This is a logical fallacy - having evidence for Person A in Kansas and Person B in Texas does not constitute evidence that A = B. For a common name like Bill Morgan with a 10-year gap between positions, high confidence requires Tier 1 sources showing career continuity (LinkedIn with both districts, hiring announcement mentioning prior district, or transition news). None exist here.",True
billy williams,same,high,5,SUSPECT,pass,weak,fail,fail,fail,fail,pass,fail,fail,fail,"The reasoning makes a critical logical leap: it confirms Billy Williams worked at Woodlawn (AR) and worked somewhere in Texas, but NEVER actually verifies he worked at Trent ISD (TX) specifically. The obituary mentions ""Texas and Arkansas"" schools and ""Texas High School (Texarkana, TX)"" but not Trent ISD. The entire conclusion rests on assuming that because he worked in Texas, he must have worked at Trent ISD - this is pure speculation, not evidence.",True
blane mccann,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"None significant. The reasoning is sound, well-sourced, and appropriately confident. Minor weakness in not explicitly documenting the 4-phase search strategy, but the evidence quality and corroboration are strong.",False
brad wade,same,high,12,QUESTIONABLE,pass,pass,weak,pass,pass,pass,weak,fail,fail,fail,"The reasoning contains a critical timeline contradiction: it claims Brad Wade became Wyandotte superintendent in 2020, but the position record clearly states 2022-2024. There is also an unexplained 5-year gap between Braggs (2017) and Wyandotte (2020/2022). The reasoning asserts high confidence despite this fundamental discrepancy, and the Wyandotte URL provided is a generic article page that doesn't clearly verify the claimed 2020 start date.",True
brian binggeli,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None - this is an exemplary disambiguation with strong, multi-source evidence properly classified and corroborated.",False
